timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733087319482,3570,Añadir Opinion,200,,Thread Group 1-555,text,true,,660,376,5468,5468,http://localhost:30200/api/opiniones/agregar,3570,0,65
1733087319482,3571,Añadir Opinion,200,,Thread Group 1-558,text,true,,660,376,5468,5468,http://localhost:30200/api/opiniones/agregar,3571,0,67
1733087319491,4837,Añadir Opinion,200,,Thread Group 1-450,text,true,,660,376,5568,5568,http://localhost:30200/api/opiniones/agregar,4837,0,330
1733087319548,4780,Añadir Opinion,200,,Thread Group 1-945,text,true,,660,376,5568,5568,http://localhost:30200/api/opiniones/agregar,4780,0,1
1733087319483,4845,Añadir Opinion,200,,Thread Group 1-542,text,true,,660,376,5568,5568,http://localhost:30200/api/opiniones/agregar,4845,0,69
1733087319481,4847,Añadir Opinion,200,,Thread Group 1-561,text,true,,660,376,5568,5568,http://localhost:30200/api/opiniones/agregar,4847,0,66
1733087319483,4845,Añadir Opinion,200,,Thread Group 1-546,text,true,,660,376,5568,5568,http://localhost:30200/api/opiniones/agregar,4845,0,68
1733087319491,4837,Añadir Opinion,200,,Thread Group 1-134,text,true,,660,376,5568,5568,http://localhost:30200/api/opiniones/agregar,4837,0,330
1733087319493,4835,Añadir Opinion,200,,Thread Group 1-432,text,true,,660,376,5568,5568,http://localhost:30200/api/opiniones/agregar,4835,0,330
1733087319482,4846,Añadir Opinion,200,,Thread Group 1-566,text,true,,660,376,5568,5568,http://localhost:30200/api/opiniones/agregar,4846,0,65
1733087319552,4776,Añadir Opinion,200,,Thread Group 1-951,text,true,,660,376,5568,5568,http://localhost:30200/api/opiniones/agregar,4776,0,0
1733087319491,4837,Añadir Opinion,200,,Thread Group 1-454,text,true,,660,376,5568,5568,http://localhost:30200/api/opiniones/agregar,4837,0,330
1733087319481,4847,Añadir Opinion,200,,Thread Group 1-563,text,true,,660,376,5566,5566,http://localhost:30200/api/opiniones/agregar,4847,0,66
1733087319482,4846,Añadir Opinion,200,,Thread Group 1-553,text,true,,660,376,5566,5566,http://localhost:30200/api/opiniones/agregar,4846,0,68
1733087319483,4845,Añadir Opinion,200,,Thread Group 1-11,text,true,,660,376,5567,5567,http://localhost:30200/api/opiniones/agregar,4845,0,69
1733087319482,4846,Añadir Opinion,200,,Thread Group 1-550,text,true,,660,376,5568,5568,http://localhost:30200/api/opiniones/agregar,4846,0,68
1733087319490,4838,Añadir Opinion,200,,Thread Group 1-458,text,true,,660,376,5568,5568,http://localhost:30200/api/opiniones/agregar,4838,0,329
1733087319491,4838,Añadir Opinion,200,,Thread Group 1-167,text,true,,660,376,5565,5565,http://localhost:30200/api/opiniones/agregar,4838,0,331
1733087319490,4838,Añadir Opinion,200,,Thread Group 1-210,text,true,,660,376,5566,5566,http://localhost:30200/api/opiniones/agregar,4838,0,329
1733087319482,4847,Añadir Opinion,200,,Thread Group 1-549,text,true,,660,376,5562,5562,http://localhost:30200/api/opiniones/agregar,4847,0,68
1733087319491,4838,Añadir Opinion,200,,Thread Group 1-193,text,true,,660,376,5562,5562,http://localhost:30200/api/opiniones/agregar,4838,0,330
1733087319483,4846,Añadir Opinion,200,,Thread Group 1-541,text,true,,660,376,5562,5562,http://localhost:30200/api/opiniones/agregar,4846,0,69
1733087319820,4509,Añadir Opinion,200,,Thread Group 1-976,text,true,,660,376,5561,5561,http://localhost:30200/api/opiniones/agregar,4509,0,1
1733087319490,4839,Añadir Opinion,200,,Thread Group 1-224,text,true,,660,376,5560,5560,http://localhost:30200/api/opiniones/agregar,4839,0,330
1733087319490,4839,Añadir Opinion,200,,Thread Group 1-477,text,true,,660,376,5560,5560,http://localhost:30200/api/opiniones/agregar,4839,0,330
1733087319551,4777,Añadir Opinion,200,,Thread Group 1-950,text,true,,660,376,5568,5568,http://localhost:30200/api/opiniones/agregar,4777,0,0
1733087319552,4777,Añadir Opinion,200,,Thread Group 1-952,text,true,,660,376,5557,5557,http://localhost:30200/api/opiniones/agregar,4777,0,0
1733087319493,4836,Añadir Opinion,200,,Thread Group 1-412,text,true,,660,376,5556,5556,http://localhost:30200/api/opiniones/agregar,4836,0,330
1733087319482,4847,Añadir Opinion,200,,Thread Group 1-559,text,true,,660,376,5555,5555,http://localhost:30200/api/opiniones/agregar,4847,0,65
1733087319483,4846,Añadir Opinion,200,,Thread Group 1-545,text,true,,660,376,5555,5555,http://localhost:30200/api/opiniones/agregar,4846,0,68
1733087319482,4847,Añadir Opinion,200,,Thread Group 1-556,text,true,,660,376,5555,5555,http://localhost:30200/api/opiniones/agregar,4847,0,67
1733087319481,4849,Añadir Opinion,200,,Thread Group 1-160,text,true,,660,376,5550,5550,http://localhost:30200/api/opiniones/agregar,4849,0,66
1733087319483,4847,Añadir Opinion,200,,Thread Group 1-22,text,true,,660,376,5550,5550,http://localhost:30200/api/opiniones/agregar,4847,0,69
1733087319493,4889,Añadir Opinion,200,,Thread Group 1-141,text,true,,660,376,5768,5768,http://localhost:30200/api/opiniones/agregar,4888,0,330
1733087319491,4936,Añadir Opinion,200,,Thread Group 1-737,text,true,,660,376,5989,5989,http://localhost:30200/api/opiniones/agregar,4936,0,330
1733087319483,4945,Añadir Opinion,200,,Thread Group 1-717,text,true,,660,376,5990,5990,http://localhost:30200/api/opiniones/agregar,4945,0,68
1733087319483,4947,Añadir Opinion,200,,Thread Group 1-543,text,true,,660,376,5990,5990,http://localhost:30200/api/opiniones/agregar,4947,0,69
1733087319492,4938,Añadir Opinion,200,,Thread Group 1-185,text,true,,660,376,5990,5990,http://localhost:30200/api/opiniones/agregar,4938,0,330
1733087319491,4939,Añadir Opinion,200,,Thread Group 1-191,text,true,,660,376,5990,5990,http://localhost:30200/api/opiniones/agregar,4937,0,330
1733087319493,4939,Añadir Opinion,200,,Thread Group 1-420,text,true,,660,376,5990,5990,http://localhost:30200/api/opiniones/agregar,4939,0,330
1733087319483,4949,Añadir Opinion,200,,Thread Group 1-309,text,true,,660,376,5990,5990,http://localhost:30200/api/opiniones/agregar,4945,0,70
1733087319494,4938,Añadir Opinion,200,,Thread Group 1-128,text,true,,660,376,5987,5987,http://localhost:30200/api/opiniones/agregar,4936,0,331
1733087319483,4949,Añadir Opinion,200,,Thread Group 1-21,text,true,,660,376,5987,5987,http://localhost:30200/api/opiniones/agregar,4949,0,70
1733087319825,5157,Añadir Opinion,200,,Thread Group 1-979,text,true,,660,376,6015,6015,http://localhost:30200/api/opiniones/agregar,5157,0,1
1733087319493,5489,Añadir Opinion,200,,Thread Group 1-424,text,true,,660,376,6015,6015,http://localhost:30200/api/opiniones/agregar,5489,0,331
1733087319483,5499,Añadir Opinion,200,,Thread Group 1-18,text,true,,660,376,6015,6015,http://localhost:30200/api/opiniones/agregar,5499,0,70
1733087319493,5489,Añadir Opinion,200,,Thread Group 1-132,text,true,,660,376,6015,6015,http://localhost:30200/api/opiniones/agregar,5489,0,331
1733087319483,5499,Añadir Opinion,200,,Thread Group 1-35,text,true,,660,376,6015,6015,http://localhost:30200/api/opiniones/agregar,5499,0,70
1733087319482,5500,Añadir Opinion,200,,Thread Group 1-554,text,true,,660,376,6015,6015,http://localhost:30200/api/opiniones/agregar,5500,0,68
1733087319494,5488,Añadir Opinion,200,,Thread Group 1-180,text,true,,660,376,6015,6015,http://localhost:30200/api/opiniones/agregar,5488,0,331
1733087319483,5499,Añadir Opinion,200,,Thread Group 1-44,text,true,,660,376,6015,6015,http://localhost:30200/api/opiniones/agregar,5499,0,71
1733087319494,5488,Añadir Opinion,200,,Thread Group 1-165,text,true,,660,376,6015,6015,http://localhost:30200/api/opiniones/agregar,5488,0,333
1733087319494,5488,Añadir Opinion,200,,Thread Group 1-152,text,true,,660,376,6015,6015,http://localhost:30200/api/opiniones/agregar,5488,0,333
1733087319483,5547,Añadir Opinion,200,,Thread Group 1-60,text,true,,660,376,6289,6289,http://localhost:30200/api/opiniones/agregar,5547,0,71
1733087319494,6007,Añadir Opinion,200,,Thread Group 1-162,text,true,,660,376,7069,7069,http://localhost:30200/api/opiniones/agregar,6007,0,335
1733087319483,6019,Añadir Opinion,200,,Thread Group 1-67,text,true,,660,376,7069,7069,http://localhost:30200/api/opiniones/agregar,6019,0,73
1733087319484,6018,Añadir Opinion,200,,Thread Group 1-76,text,true,,660,376,7069,7069,http://localhost:30200/api/opiniones/agregar,6018,0,73
1733087319493,6010,Añadir Opinion,200,,Thread Group 1-416,text,true,,660,376,7069,7069,http://localhost:30200/api/opiniones/agregar,6009,0,331
1733087319484,6019,Añadir Opinion,200,,Thread Group 1-300,text,true,,660,376,7069,7069,http://localhost:30200/api/opiniones/agregar,6019,0,73
1733087319495,6009,Añadir Opinion,200,,Thread Group 1-383,text,true,,660,376,7070,7070,http://localhost:30200/api/opiniones/agregar,6009,0,335
1733087319494,6010,Añadir Opinion,200,,Thread Group 1-498,text,true,,660,376,7070,7070,http://localhost:30200/api/opiniones/agregar,6010,0,335
