timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733085919008,9376,Listar Inmueble,200,,Thread Group 1-5,text,true,,3723762,135,4465,4465,http://localhost:30200/api/inmuebles/list,1559,0,1
1733085919008,9494,Listar Inmueble,200,,Thread Group 1-8,text,true,,3723762,135,4507,4507,http://localhost:30200/api/inmuebles/list,1584,0,1
1733085919008,9515,Listar Inmueble,200,,Thread Group 1-1,text,true,,3723762,135,4512,4512,http://localhost:30200/api/inmuebles/list,1625,0,1
1733085919008,9705,Listar Inmueble,200,,Thread Group 1-3,text,true,,3723762,135,4578,4578,http://localhost:30200/api/inmuebles/list,1649,0,1
1733085919019,9772,Listar Inmueble,200,,Thread Group 1-10,text,true,,3723762,135,4611,4611,http://localhost:30200/api/inmuebles/list,1462,0,2
1733085919008,9922,Listar Inmueble,200,,Thread Group 1-6,text,true,,3723762,135,4676,4676,http://localhost:30200/api/inmuebles/list,1532,0,1
1733085919008,9940,Listar Inmueble,200,,Thread Group 1-4,text,true,,3723762,135,4681,4681,http://localhost:30200/api/inmuebles/list,1551,0,1
1733085919008,9987,Listar Inmueble,200,,Thread Group 1-2,text,true,,3723762,135,4716,4716,http://localhost:30200/api/inmuebles/list,1519,0,1
1733085919008,10015,Listar Inmueble,200,,Thread Group 1-7,text,true,,3723762,135,4721,4721,http://localhost:30200/api/inmuebles/list,1651,0,3
1733085919010,10200,Listar Inmueble,200,,Thread Group 1-9,text,true,,3723762,135,4798,4798,http://localhost:30200/api/inmuebles/list,1541,0,1
1733085919025,15127,Listar Inmueble,200,,Thread Group 1-13,text,true,,3723762,135,7254,7254,http://localhost:30200/api/inmuebles/list,9912,0,0
1733085919023,15182,Listar Inmueble,200,,Thread Group 1-15,text,true,,3723762,135,7280,7280,http://localhost:30200/api/inmuebles/list,9749,0,1
1733085919026,15260,Listar Inmueble,200,,Thread Group 1-18,text,true,,3723762,135,7303,7303,http://localhost:30200/api/inmuebles/list,10072,0,1
1733085919022,15390,Listar Inmueble,200,,Thread Group 1-12,text,true,,3723762,135,7331,7331,http://localhost:30200/api/inmuebles/list,9558,0,0
1733085919023,15488,Listar Inmueble,200,,Thread Group 1-14,text,true,,3723762,135,7369,7369,http://localhost:30200/api/inmuebles/list,9867,0,2
1733085919029,15549,Listar Inmueble,200,,Thread Group 1-20,text,true,,3723762,135,7392,7392,http://localhost:30200/api/inmuebles/list,10114,0,1
