timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733108862895,184,Listar Inmueble,200,,Thread Group 1-11,text,true,,6863,134,86,86,http://127.0.0.1:8081/api/inmuebles/list,182,0,0
1733108862896,183,Listar Inmueble,200,,Thread Group 1-13,text,true,,6863,134,86,86,http://127.0.0.1:8081/api/inmuebles/list,160,0,1
1733108862882,199,Listar Inmueble,200,,Thread Group 1-1,text,true,,6863,134,84,84,http://127.0.0.1:8081/api/inmuebles/list,194,0,1
1733108862882,199,Listar Inmueble,200,,Thread Group 1-4,text,true,,6863,134,83,83,http://127.0.0.1:8081/api/inmuebles/list,174,0,1
1733108862902,179,Listar Inmueble,200,,Thread Group 1-124,text,true,,6863,134,83,83,http://127.0.0.1:8081/api/inmuebles/list,153,0,0
1733108862904,177,Listar Inmueble,200,,Thread Group 1-20,text,true,,6863,134,82,82,http://127.0.0.1:8081/api/inmuebles/list,177,0,0
1733108862918,164,Listar Inmueble,200,,Thread Group 1-37,text,true,,6863,134,80,80,http://127.0.0.1:8081/api/inmuebles/list,156,0,0
1733108862882,200,Listar Inmueble,200,,Thread Group 1-6,text,true,,6863,134,79,79,http://127.0.0.1:8081/api/inmuebles/list,194,0,1
1733108862882,200,Listar Inmueble,200,,Thread Group 1-5,text,true,,6863,134,78,78,http://127.0.0.1:8081/api/inmuebles/list,193,0,2
1733108862885,197,Listar Inmueble,200,,Thread Group 1-7,text,true,,6863,134,77,77,http://127.0.0.1:8081/api/inmuebles/list,197,0,1
1733108862887,209,Listar Inmueble,200,,Thread Group 1-8,text,true,,6863,134,77,77,http://127.0.0.1:8081/api/inmuebles/list,173,0,1
1733108862899,197,Listar Inmueble,200,,Thread Group 1-14,text,true,,6863,134,76,76,http://127.0.0.1:8081/api/inmuebles/list,197,0,1
1733108862889,225,Listar Inmueble,200,,Thread Group 1-9,text,true,,6863,134,76,76,http://127.0.0.1:8081/api/inmuebles/list,213,0,1
1733108862882,250,Listar Inmueble,200,,Thread Group 1-3,text,true,,6863,134,78,78,http://127.0.0.1:8081/api/inmuebles/list,250,0,2
1733108862900,232,Listar Inmueble,200,,Thread Group 1-15,text,true,,6863,134,78,78,http://127.0.0.1:8081/api/inmuebles/list,214,0,0
1733108862935,203,Listar Inmueble,200,,Thread Group 1-53,text,true,,6863,134,76,76,http://127.0.0.1:8081/api/inmuebles/list,203,0,1
1733108862882,256,Listar Inmueble,200,,Thread Group 1-2,text,true,,6863,134,75,75,http://127.0.0.1:8081/api/inmuebles/list,256,0,2
1733108862928,210,Listar Inmueble,200,,Thread Group 1-50,text,true,,6863,134,74,74,http://127.0.0.1:8081/api/inmuebles/list,210,0,1
1733108862907,238,Listar Inmueble,200,,Thread Group 1-26,text,true,,6863,134,74,74,http://127.0.0.1:8081/api/inmuebles/list,238,0,1
1733108862906,240,Listar Inmueble,200,,Thread Group 1-22,text,true,,6863,134,74,74,http://127.0.0.1:8081/api/inmuebles/list,240,0,1
