timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733074796628,8177,Listar Inmueble,200,,Thread Group 1-2,text,true,,4047526,135,4811,4811,http://localhost:30200/api/inmuebles/list,1141,0,2
1733074796628,8375,Listar Inmueble,200,,Thread Group 1-3,text,true,,4047526,135,4874,4874,http://localhost:30200/api/inmuebles/list,1016,0,1
1733074796628,8400,Listar Inmueble,200,,Thread Group 1-7,text,true,,4047526,135,4884,4884,http://localhost:30200/api/inmuebles/list,1185,0,1
1733074796628,8445,Listar Inmueble,200,,Thread Group 1-1,text,true,,4047526,135,4902,4902,http://localhost:30200/api/inmuebles/list,905,0,1
1733074796628,8523,Listar Inmueble,200,,Thread Group 1-6,text,true,,4047526,135,4939,4939,http://localhost:30200/api/inmuebles/list,1098,0,2
1733074796630,8533,Listar Inmueble,200,,Thread Group 1-10,text,true,,4047526,135,4944,4944,http://localhost:30200/api/inmuebles/list,864,0,0
1733074796628,8585,Listar Inmueble,200,,Thread Group 1-5,text,true,,4047526,135,4956,4956,http://localhost:30200/api/inmuebles/list,1182,0,2
1733074796629,8686,Listar Inmueble,200,,Thread Group 1-9,text,true,,4047526,135,4978,4978,http://localhost:30200/api/inmuebles/list,980,0,0
1733074796630,8712,Listar Inmueble,200,,Thread Group 1-11,text,true,,4047526,135,4983,4983,http://localhost:30200/api/inmuebles/list,1144,0,1
1733074796628,8735,Listar Inmueble,200,,Thread Group 1-4,text,true,,4047526,135,4990,4990,http://localhost:30200/api/inmuebles/list,1127,0,2
1733074796644,15922,Listar Inmueble,200,,Thread Group 1-15,text,true,,4047526,135,7337,7337,http://localhost:30200/api/inmuebles/list,8708,0,11
1733074796632,16500,Listar Inmueble,200,,Thread Group 1-13,text,true,,4047526,135,7700,7700,http://localhost:30200/api/inmuebles/list,8551,0,1
1733074796634,16561,Listar Inmueble,200,,Thread Group 1-14,text,true,,4047526,135,7740,7740,http://localhost:30200/api/inmuebles/list,8897,0,6
1733074797377,15943,Listar Inmueble,200,,Thread Group 1-214,text,true,,4047526,135,7787,7787,http://localhost:30200/api/inmuebles/list,8103,0,0
1733074796648,16982,Listar Inmueble,200,,Thread Group 1-16,text,true,,4047526,135,7932,7932,http://localhost:30200/api/inmuebles/list,8794,0,8
1733074796628,17028,Listar Inmueble,200,,Thread Group 1-8,text,true,,4047526,135,7939,7939,http://localhost:30200/api/inmuebles/list,8302,0,1
1733074796673,17154,Listar Inmueble,200,,Thread Group 1-21,text,true,,4047526,135,8053,8053,http://localhost:30200/api/inmuebles/list,8827,0,1
1733074796632,17267,Listar Inmueble,200,,Thread Group 1-12,text,true,,4047526,135,8087,8087,http://localhost:30200/api/inmuebles/list,8776,0,1
1733074796677,17372,Listar Inmueble,200,,Thread Group 1-23,text,true,,4047526,135,8186,8186,http://localhost:30200/api/inmuebles/list,8792,0,0
1733074797375,16733,Listar Inmueble,200,,Thread Group 1-209,text,true,,4047526,135,8225,8225,http://localhost:30200/api/inmuebles/list,8106,0,4
1733074796672,26391,Listar Inmueble,200,,Thread Group 1-20,text,true,,4047526,135,11307,11307,http://localhost:30200/api/inmuebles/list,16033,0,0
1733074796663,28446,Listar Inmueble,200,,Thread Group 1-18,text,true,,4047526,135,11979,11979,http://localhost:30200/api/inmuebles/list,16547,0,1
1733074796693,28630,Listar Inmueble,200,,Thread Group 1-31,text,true,,4047526,135,11978,11978,http://localhost:30200/api/inmuebles/list,16752,0,2
1733074796679,30172,Listar Inmueble,200,,Thread Group 1-25,text,true,,4047526,135,11977,11977,http://localhost:30200/api/inmuebles/list,16637,0,2
1733074796703,30326,Listar Inmueble,200,,Thread Group 1-35,text,true,,4047526,135,11976,11976,http://localhost:30200/api/inmuebles/list,17037,0,4
1733074796699,30338,Listar Inmueble,200,,Thread Group 1-34,text,true,,4047526,135,11975,11975,http://localhost:30200/api/inmuebles/list,17053,0,5
1733074796681,30599,Listar Inmueble,200,,Thread Group 1-27,text,true,,4047526,135,11974,11974,http://localhost:30200/api/inmuebles/list,17262,0,1
1733074796680,30672,Listar Inmueble,200,,Thread Group 1-26,text,true,,4047526,135,11973,11973,http://localhost:30200/api/inmuebles/list,17341,0,2
1733074796692,30804,Listar Inmueble,200,,Thread Group 1-30,text,true,,4047526,135,11972,11972,http://localhost:30200/api/inmuebles/list,17530,0,1
1733074796683,30957,Listar Inmueble,200,,Thread Group 1-24,text,true,,4047526,135,11971,11971,http://localhost:30200/api/inmuebles/list,17516,0,0
1733074797283,31951,Listar Inmueble,500,,Thread Group 1-178,text,false,,352,135,11970,11970,http://localhost:30200/api/inmuebles/list,31950,0,0
1733074797126,32108,Listar Inmueble,500,,Thread Group 1-138,text,false,,352,135,11970,11970,http://localhost:30200/api/inmuebles/list,32106,0,0
1733074797348,31886,Listar Inmueble,500,,Thread Group 1-200,text,false,,352,135,11970,11970,http://localhost:30200/api/inmuebles/list,31886,0,1
1733074797215,32019,Listar Inmueble,500,,Thread Group 1-152,text,false,,352,135,11970,11970,http://localhost:30200/api/inmuebles/list,32019,0,0
1733074796659,32574,Listar Inmueble,500,,Thread Group 1-17,text,false,,352,135,11969,11969,http://localhost:30200/api/inmuebles/list,32573,0,5
1733074796671,32563,Listar Inmueble,500,,Thread Group 1-19,text,false,,352,135,11968,11968,http://localhost:30200/api/inmuebles/list,32561,0,1
1733074796766,32470,Listar Inmueble,500,,Thread Group 1-46,text,false,,352,135,11966,11966,http://localhost:30200/api/inmuebles/list,32470,0,1
